"rank","name","country","countrycode","time","timeBehind","performance","year","sport","gender","event","allbutfirst005percentfaster_time","allbutfirst005percentfaster_performance","allbutfirst005percentfaster_rank","allbutmedalists005percentfaster_time","allbutmedalists005percentfaster_performance","allbutmedalists005percentfaster_rank","allbutfirst01percentfaster_time","allbutfirst01percentfaster_performance","allbutfirst01percentfaster_rank","allbutmedalists01percentfaster_time","allbutmedalists01percentfaster_performance","allbutmedalists01percentfaster_rank","allbutfirst02percentfaster_time","allbutfirst02percentfaster_performance","allbutfirst02percentfaster_rank","allbutmedalists02percentfaster_time","allbutmedalists02percentfaster_performance","allbutmedalists02percentfaster_rank","allbutfirst05percentfaster_time","allbutfirst05percentfaster_performance","allbutfirst05percentfaster_rank","allbutmedalists05percentfaster_time","allbutmedalists05percentfaster_performance","allbutmedalists05percentfaster_rank","allbutfirst1percentfaster_time","allbutfirst1percentfaster_performance","allbutfirst1percentfaster_rank","allbutmedalists1percentfaster_time","allbutmedalists1percentfaster_performance","allbutmedalists1percentfaster_rank","genderEvent","position"
2,"Dajana EITBERGER","Germany","GER",185.599,0.36699999999999,99.8022618656351,2018,"Luge","women","Singles",185.506246876562,99.8521629965679,2,185.599,99.8022618656351,2,185.413586413586,99.9020641275007,2,185.599,99.8022618656351,3,185.228542914172,100.001866389366,1,185.599,99.8022618656351,5,184.675621890547,100.301273174963,1,185.599,99.8022618656351,7,183.761386138614,100.800284484291,1,185.599,99.8022618656351,7,"women Singles",2
3,"Alex GOUGH","Canada","CAN",185.644,0.412000000000006,99.7780698541294,2018,"Luge","women","Singles",185.551224387806,99.8279588890565,3,185.644,99.7780698541294,4,185.458541458541,99.8778479239835,3,185.644,99.7780698541294,4,185.273453093812,99.9776259938377,3,185.644,99.7780698541294,6,184.72039800995,100.2769602034,2,185.644,99.7780698541294,8,183.805940594059,100.775850552671,2,185.644,99.7780698541294,8,"women Singles",3
4,"Tatjana HUEFNER","Germany","GER",185.713,0.480999999999995,99.7409982069107,2018,"Luge","women","Singles",185.620189905047,99.7908687060141,4,185.620189905047,99.7908687060141,3,185.527472527473,99.8407392051176,4,185.527472527473,99.8407392051176,2,185.342315369261,99.9404802033245,4,185.342315369261,99.9404802033245,2,184.789054726368,100.239703197945,3,184.789054726368,100.239703197945,1,183.874257425743,100.73840818898,3,183.874257425743,100.73840818898,1,"women Singles",4
5,"Kimberley MCRAE","Canada","CAN",185.878,0.645999999999987,99.6524602158405,2018,"Luge","women","Singles",185.785107446277,99.7022864459484,5,185.785107446277,99.7022864459484,5,185.692307692308,99.7521126760563,5,185.692307692308,99.7521126760563,5,185.506986027944,99.8517651362722,5,185.506986027944,99.8517651362722,3,184.953233830846,100.15072251692,4,184.953233830846,100.15072251692,2,184.037623762376,100.648984817999,4,184.037623762376,100.648984817999,2,"women Singles",5
6,"Erin HAMLIN","United States","USA",185.912,0.680000000000007,99.6342355523043,2018,"Luge","women","Singles",185.819090454773,99.6840526700805,6,185.819090454773,99.6840526700805,6,185.726273726274,99.7338697878566,6,185.726273726274,99.7338697878566,6,185.540918163673,99.8335040234089,6,185.540918163673,99.8335040234089,4,184.987064676617,100.132406730066,5,184.987064676617,100.132406730066,3,184.071287128713,100.630577907827,5,184.071287128713,100.630577907827,3,"women Singles",6
7,"Raluca STRAMATURARU","Romania","ROU",186.288,1.05600000000001,99.4331357897449,2018,"Luge","women","Singles",186.194902548726,99.4828523576398,7,186.194902548726,99.4828523576398,7,186.101898101898,99.5325689255346,7,186.101898101898,99.5325689255346,7,185.916167664671,99.6320020613244,7,185.916167664671,99.6320020613244,7,185.361194029851,99.9303014686936,7,185.361194029851,99.9303014686936,5,184.443564356436,100.427467147642,6,184.443564356436,100.427467147642,4,"women Singles",7
8,"Aileen Christina FRISCH","Republic of Korea","KOR",186.4,1.16800000000001,99.3733905579399,2018,"Luge","women","Singles",186.306846576712,99.4230772532189,8,186.306846576712,99.4230772532189,8,186.213786213786,99.4727639484978,8,186.213786213786,99.4727639484978,8,186.027944111776,99.5721373390558,8,186.027944111776,99.5721373390558,8,185.47263681592,99.8702575107296,8,185.47263681592,99.8702575107296,6,184.554455445545,100.367124463519,7,184.554455445545,100.367124463519,5,"women Singles",8
1,"Sungbin YUN","Republic of Korea","KOR",200.55,0,100,2018,"Skeleton","men","Singles",200.55,100,1,200.55,100,1,200.55,100,1,200.55,100,1,200.55,100,1,200.55,100,1,200.55,100,1,200.55,100,1,200.55,100,4,200.55,100,2,"men Singles",1
2,"Nikita TREGUBOV","Olympic Athlete from Russia","OAR",202.18,1.63,99.1937877139183,2018,"Skeleton","men","Singles",202.07896051974,99.2433846077752,2,202.18,99.1937877139183,2,201.978021978022,99.2929815016322,2,202.18,99.1937877139183,3,201.776447105788,99.3921752893461,2,202.18,99.1937877139183,3,201.174129353234,99.6897566524879,2,202.18,99.1937877139183,5,200.178217821782,100.185725591057,1,202.18,99.1937877139183,7,"men Singles",2
3,"Dom PARSONS","Great Britain","GBR",202.2,1.64999999999998,99.1839762611276,2018,"Skeleton","men","Singles",202.098950524738,99.2335682492582,3,202.2,99.1839762611276,3,201.998001998002,99.2831602373887,3,202.2,99.1839762611276,4,201.796407185629,99.3823442136499,3,202.2,99.1839762611276,4,201.194029850746,99.6798961424332,3,202.2,99.1839762611276,6,200.19801980198,100.175816023739,2,202.2,99.1839762611276,8,"men Singles",3
4,"Martins DUKURS","Latvia","LAT",202.31,1.75999999999999,99.1300479462211,2018,"Skeleton","men","Singles",202.208895552224,99.1796129701943,4,202.208895552224,99.1796129701943,4,202.107892107892,99.2291779941674,4,202.107892107892,99.2291779941674,2,201.90618762475,99.3283080421136,4,201.90618762475,99.3283080421136,2,201.303482587065,99.6256981859522,4,201.303482587065,99.6256981859522,2,200.306930693069,100.121348425683,3,200.306930693069,100.121348425683,1,"men Singles",4
5,"Tomass DUKURS","Latvia","LAT",202.74,2.19,98.9197987570287,2018,"Skeleton","men","Singles",202.63868065967,98.9692586564072,5,202.63868065967,98.9692586564072,5,202.537462537463,99.0187185557857,5,202.537462537463,99.0187185557857,5,202.335329341317,99.1176383545428,5,202.335329341317,99.1176383545428,5,201.731343283582,99.4143977508138,5,201.731343283582,99.4143977508138,3,200.732673267327,99.908996744599,5,200.732673267327,99.908996744599,3,"men Singles",5
6,"Jisoo KIM","Republic of Korea","KOR",202.98,2.42999999999998,98.8028377180018,2018,"Skeleton","men","Singles",202.87856071964,98.8522391368608,6,202.87856071964,98.8522391368608,6,202.777222777223,98.9016405557198,6,202.777222777223,98.9016405557198,6,202.574850299401,99.0004433934378,6,202.574850299401,99.0004433934378,6,201.970149253731,99.2968519065918,6,201.970149253731,99.2968519065918,4,200.970297029703,99.7908660951818,6,200.970297029703,99.7908660951818,4,"men Singles",6
7,"Axel JUNGK","Germany","GER",203.6,3.04999999999998,98.5019646365423,2018,"Skeleton","men","Singles",203.498250874563,98.5512156188605,7,203.498250874563,98.5512156188605,7,203.396603396603,98.6004666011788,7,203.396603396603,98.6004666011788,7,203.193612774451,98.6989685658153,7,203.193612774451,98.6989685658153,7,202.587064676617,98.9944744597249,7,202.587064676617,98.9944744597249,7,201.584158415842,99.4869842829077,7,201.584158415842,99.4869842829077,5,"men Singles",7
8,"Christopher GROTHEER","Germany","GER",204.05,3.5,98.2847341337907,2018,"Skeleton","men","Singles",203.948025987007,98.3338765008576,8,203.948025987007,98.3338765008576,8,203.846153846154,98.3830188679245,8,203.846153846154,98.3830188679245,8,203.642714570858,98.4813036020583,8,203.642714570858,98.4813036020583,8,203.034825870647,98.7761578044597,8,203.034825870647,98.7761578044597,8,202.029702970297,99.2675814751286,8,202.029702970297,99.2675814751286,6,"men Singles",8
1,"Lizzy YARNOLD","Great Britain","GBR",207.28,0,100,2018,"Skeleton","women","Singles",207.28,100,1,207.28,100,1,207.28,100,1,207.28,100,1,207.28,100,1,207.28,100,1,207.28,100,6,207.28,100,4,207.28,100,8,207.28,100,6,"women Singles",1
2,"Jacqueline LOELLING","Germany","GER",207.73,0.449999999999989,99.7833726471863,2018,"Skeleton","women","Singles",207.626186906547,99.8332643335098,2,207.73,99.7833726471863,2,207.522477522478,99.8831560198334,2,207.73,99.7833726471863,3,207.315369261477,99.9829393924806,2,207.73,99.7833726471863,5,206.696517412935,100.282289510422,1,207.73,99.7833726471863,7,205.673267326733,100.781206373658,1,207.73,99.7833726471863,7,"women Singles",2
3,"Laura DEAS","Great Britain","GBR",207.9,0.620000000000005,99.7017797017797,2018,"Skeleton","women","Singles",207.796101949026,99.7516305916306,3,207.9,99.7017797017797,5,207.692307692308,99.8014814814815,3,207.9,99.7017797017797,6,207.48502994012,99.9011832611833,3,207.9,99.7017797017797,6,206.865671641791,100.200288600289,2,207.9,99.7017797017797,8,205.841584158416,100.698797498797,2,207.9,99.7017797017797,8,"women Singles",3
4,"Janine FLOCK","Austria","AUT",207.92,0.640000000000015,99.6921893035783,2018,"Skeleton","women","Singles",207.816091954023,99.7420353982301,4,207.816091954023,99.7420353982301,3,207.712287712288,99.7918814928819,4,207.712287712288,99.7918814928819,2,207.50499001996,99.8915736821855,4,207.50499001996,99.8915736821855,2,206.885572139303,100.190650250096,3,206.885572139303,100.190650250096,1,205.861386138614,100.689111196614,3,205.861386138614,100.689111196614,1,"women Singles",4
5,"Tina HERMANN","Germany","GER",207.98,0.699999999999989,99.6634291758823,2018,"Skeleton","women","Singles",207.876061969015,99.7132608904702,5,207.876061969015,99.7132608904702,4,207.772227772228,99.7630926050582,5,207.772227772228,99.7630926050582,4,207.564870259481,99.8627560342341,5,207.564870259481,99.8627560342341,3,206.945273631841,100.161746321762,4,206.945273631841,100.161746321762,2,205.920792079208,100.660063467641,4,205.920792079208,100.660063467641,2,"women Singles",5
6,"Anna FERNSTAEDT","Germany","GER",208.04,0.759999999999991,99.6346856373774,2018,"Skeleton","women","Singles",207.936031984008,99.6845029801961,6,207.936031984008,99.6845029801961,6,207.832167832168,99.7343203230148,6,207.832167832168,99.7343203230148,5,207.624750499002,99.8339550086522,6,207.624750499002,99.8339550086522,4,207.004975124378,100.132859065564,5,207.004975124378,100.132859065564,3,205.980198019802,100.631032493751,5,205.980198019802,100.631032493751,3,"women Singles",6
