"year","gender","distance","stroke","rank","name","country","countrycode","time","timeBehind","genderDistance"
"2011","men","100","breast"," 8","Mark GANGLOFF","United States","USA","60.52","1.81","men 100"
"2011","men","100","fly"," 1","Michael PHELPS","United States","USA","50.71","0.00","men 100"
"2011","men","100","fly"," 2","Konrad CZERNIAK","Poland","POL","51.15","0.44","men 100"
"2011","men","100","fly"," 3","Tyler MCGILL","United States","USA","51.26","0.55","men 100"
"2011","men","100","fly"," 4","Jason DUNFORD","Kenya","KEN","51.59","0.88","men 100"
"2011","men","100","fly"," 5","Takuro FUJII","Japan","JPN","51.75","1.04","men 100"
"2011","men","100","fly"," 6","Evgeny KOROTYSHKIN","Russia","RUS","51.86","1.15","men 100"
"2011","men","100","fly"," 7","Joeri VERLINDEN","Netherlands","NED","52.21","1.50","men 100"
"2011","men","100","fly"," 8","Geoff HUEGILL","Australia","AUS","52.36","1.65","men 100"
"2011","men","100","free"," 1","James MAGNUSSEN","Australia","AUS","47.63","0.00","men 100"
"2011","men","100","free"," 2","Brent HAYDEN","Canada","CAN","47.95","0.32","men 100"
"2011","men","100","free"," 3","William MEYNARD","France","FRA","48.00","0.37","men 100"
"2011","men","100","free"," 4","Cesar CIELO FILHO","Brazil","BRA","48.01","0.38","men 100"
"2011","men","100","free"," 5","Fabien GILOT","France","FRA","48.13","0.50","men 100"
"2011","men","100","free"," 6","Nathan ADRIAN","United States","USA","48.23","0.60","men 100"
"2011","men","100","free"," 7","Luca DOTTO","Italy","ITA","48.24","0.61","men 100"
"2011","men","100","free"," 8","Sebastiaan VERSCHUREN","Netherlands","NED","48.27","0.64","men 100"
"2011","women"," 50","back"," 1","Anastasia ZUEVA","Russia","RUS","27.79","0.00","women 50"
"2011","women"," 50","back"," 2","Aya TERAKAWA","Japan","JPN","27.93","0.14","women 50"
"2011","women"," 50","back"," 3","Melissa FRANKLIN","United States","USA","28.01","0.22","women 50"
"2011","women"," 50","back"," 4","Chang GAO","China","CHN","28.06","0.27","women 50"
"2011","women"," 50","back"," 5","Emily SEEBOHM","Australia","AUS","28.07","0.28","women 50"
"2011","women"," 50","back"," 6","Julia WILKINSON","Canada","CAN","28.09","0.30","women 50"
"2011","women"," 50","back"," 6","Aliaksandra HERASIMENIA","Belarus","BLR","28.09","0.30","women 50"
"2011","women"," 50","back"," 8","Mercedes PERIS MINGUET","Spain","ESP","28.42","0.63","women 50"
"2011","women"," 50","breast"," 1","Jessica HARDY","United States","USA","30.19","0.00","women 50"
"2011","women"," 50","breast"," 2","Yuliya EFIMOVA","Russia","RUS","30.49","0.30","women 50"
"2011","women"," 50","breast"," 3","Rebecca SONI","United States","USA","30.58","0.39","women 50"
"2011","women"," 50","breast"," 4","Leiston PICKETT","Australia","AUS","30.74","0.55","women 50"
"2011","women"," 50","breast"," 5","Jennie JOHANSSON","Sweden","SWE","30.89","0.70","women 50"
"2011","women"," 50","breast"," 6","Leisel JONES","Australia","AUS","31.01","0.82","women 50"
"2011","women"," 50","breast"," 7","Moniek NIJHUIS","Netherlands","NED","31.33","1.14","women 50"
"2011","women"," 50","breast"," 8","Rebecca EJDERVIK","Sweden","SWE","31.45","1.26","women 50"
"2011","women"," 50","fly"," 1","Inge DEKKER","Netherlands","NED","25.71","0.00","women 50"
"2011","women"," 50","fly"," 2","Therese ALSHAMMAR","Sweden","SWE","25.76","0.05","women 50"
"2011","women"," 50","fly"," 3","Melanie HENIQUE","France","FRA","25.86","0.15","women 50"
"2011","women"," 50","fly"," 4","Ying LU","China","CHN","25.87","0.16","women 50"
"2011","women"," 50","fly"," 4","Sarah SJÖSTRÖM","Sweden","SWE","25.87","0.16","women 50"
"2011","women"," 50","fly"," 6","Yuka KATO","Japan","JPN","26.02","0.31","women 50"
"2011","women"," 50","fly"," 7","Dana VOLLMER","United States","USA","26.06","0.35","women 50"
"2011","women"," 50","fly"," 8","Marieke GUEHRER","Australia","AUS","26.21","0.50","women 50"
"2011","women"," 50","free"," 1","Therese ALSHAMMAR","Sweden","SWE","24.14","0.00","women 50"
"2011","women"," 50","free"," 2","Ranomi KROMOWIDJOJO","Netherlands","NED","24.27","0.13","women 50"
"2011","women"," 50","free"," 3","Marleen VELDHUIS","Netherlands","NED","24.49","0.35","women 50"
"2011","women"," 50","free"," 4","Francesca HALSALL","Great Britain","GBR","24.60","0.46","women 50"
"2011","women"," 50","free"," 5","Aliaksandra HERASIMENIA","Belarus","BLR","24.65","0.51","women 50"
"2011","women"," 50","free"," 6","Jeanette OTTESEN","Denmark","DEN","24.67","0.53","women 50"
"2011","women"," 50","free"," 7","Arianna VANDERPOOL-WALLACE","Bahamas","BAH","24.79","0.65","women 50"
"2011","women"," 50","free"," 8","Jessica HARDY","United States","USA","24.87","0.73","women 50"
"2011","women","100","back"," 1","Jing ZHAO","China","CHN","59.05","0.00","women 100"
"2011","women","100","back"," 2","Anastasia ZUEVA","Russia","RUS","59.06","0.01","women 100"
"2011","women","100","back"," 3","Natalie COUGHLIN","United States","USA","59.15","0.10","women 100"
"2011","women","100","back"," 4","Emily SEEBOHM","Australia","AUS","59.21","0.16","women 100"
"2011","women","100","back"," 5","Aya TERAKAWA","Japan","JPN","59.35","0.30","women 100"
"2011","women","100","back"," 6","Belinda HOCKING","Australia","AUS","59.53","0.48","women 100"
"2011","women","100","back"," 7","Elizabeth SIMMONDS","Great Britain","GBR","59.89","0.84","women 100"
"2011","women","100","back"," 8","Sinead RUSSELL","Canada","CAN","60.20","1.15","women 100"
"2011","women","100","breast"," 1","Rebecca SONI","United States","USA","65.05","0.00","women 100"
"2011","women","100","breast"," 2","Leisel JONES","Australia","AUS","66.25","1.20","women 100"
"2011","women","100","breast"," 3","Liping JI","China","CHN","66.52","1.47","women 100"
"2011","women","100","breast"," 4","Yuliya EFIMOVA","Russia","RUS","66.56","1.51","women 100"
"2011","women","100","breast"," 5","Ye SUN","China","CHN","67.08","2.03","women 100"
"2011","women","100","breast"," 6","Rikke PEDERSEN","Denmark","DEN","67.28","2.23","women 100"
"2011","women","100","breast"," 7","Jillian TYLER","Canada","CAN","67.64","2.59","women 100"
"2011","women","100","breast"," 8","Moniek NIJHUIS","Netherlands","NED","67.97","2.92","women 100"
"2011","women","100","fly"," 1","Dana VOLLMER","United States","USA","56.87","0.00","women 100"
